nearest_university,listing_mode,gender_allowed,area_sqm,bedrooms,bathrooms,total_capacity,price,has_WiFi,has_AC,has_Elevator,has_Balcony,has_WashingMachine,has_NaturalGas
Helwan University,EntireUnit,Female,193.2,3,1,3,10916.3,1,1,1,0,1,0
AUC,Bed,Female,140.4,4,2,4,3810.44,1,1,1,0,1,1
Assiut University,EntireUnit,Male,77.9,1,1,1,3236.36,1,0,1,0,1,0
Suez Canal University,Bed,Female,45.6,1,1,1,2939.77,0,1,1,0,0,1
Fayoum University,Bed,Female,189.5,2,1,3,2193.01,1,0,0,0,0,0
Fayoum University,EntireUnit,Female,167.6,2,1,3,7667.48,1,1,1,1,0,1
Suez Canal University,Room,Male,179.0,3,2,5,2796.58,0,1,0,0,0,0
Alexandria University,EntireUnit,Male,93.5,2,2,4,6658.7,0,0,1,1,0,1
Fayoum University,EntireUnit,Female,108.1,3,2,5,4529.79,0,0,0,0,1,1
GUC,Bed,Male,27.8,1,1,1,2986.7,1,0,0,0,0,0
Helwan University,Room,Male,57.1,2,1,2,2270.64,1,1,1,1,1,0
Tanta University,Bed,Male,177.5,4,2,4,2054.22,1,1,1,1,0,0
Ain Shams University,Bed,Female,39.9,1,1,1,3907.73,0,1,0,1,1,1
Assiut University,EntireUnit,Male,119.2,1,1,2,4179.12,0,0,1,0,0,1
Fayoum University,Bed,Male,188.8,4,2,6,1188.77,1,0,0,1,1,1
Ain Shams University,Room,Male,106.5,3,1,3,2580.28,1,1,1,1,1,1
Assiut University,Bed,Male,98.3,3,2,4,974.56,0,0,1,0,0,0
Zagazig University,Room,Male,136.2,4,2,5,1422.94,0,0,0,1,0,0
Assiut University,Room,Male,115.8,3,2,5,1460.23,0,0,0,0,1,0
Tanta University,Bed,Female,96.8,3,2,5,957.2,0,1,0,0,1,0
Zagazig University,EntireUnit,Male,192.0,1,1,2,9175.17,1,1,0,1,1,0
Alexandria University,Room,Female,138.2,2,1,3,4592.21,0,0,0,0,0,0
Suez Canal University,Bed,Female,186.9,1,1,2,4030.03,0,0,0,0,1,0
Zagazig University,Room,Male,191.4,1,1,2,8998.09,0,1,1,0,0,1
Suez Canal University,Bed,Female,198.3,4,2,5,1639.81,1,0,1,0,1,1
Tanta University,EntireUnit,Female,108.0,4,2,4,4817.7,0,0,1,0,0,0
Zagazig University,Room,Female,128.8,1,1,2,6134.24,0,1,1,1,1,0
Cairo University,Bed,Female,159.9,3,2,4,2629.55,1,1,1,0,0,1
Ain Shams University,Room,Male,146.9,4,2,5,2453.84,0,1,1,1,1,1
Alexandria University,EntireUnit,Female,130.7,1,1,1,9819.69,1,1,1,1,1,0
Alexandria University,Bed,Male,128.8,2,1,2,3628.27,0,0,0,0,0,0
Suez Canal University,Bed,Male,58.3,2,1,2,2067.67,0,1,1,1,1,1
Fayoum University,Room,Female,69.2,2,2,4,1415.71,0,0,0,1,0,1
Fayoum University,Bed,Female,182.0,2,1,2,3697.83,1,1,0,1,1,1
Zagazig University,Room,Female,87.2,1,1,2,4968.03,1,1,1,0,1,1
Mansoura University,Bed,Male,134.9,2,2,4,2057.85,1,1,1,1,0,1
AUC,Bed,Male,188.3,4,2,6,3767.54,1,1,1,1,0,0
Cairo University,Room,Male,190.3,4,2,4,2748.97,1,0,0,0,0,0
Mansoura University,Bed,Male,128.6,4,2,7,934.01,0,0,1,1,0,0
AUC,EntireUnit,Female,76.2,3,2,6,8690.65,0,1,0,0,0,1
Ain Shams University,Room,Male,106.5,4,2,7,1860.29,0,1,1,0,1,0
Ain Shams University,Bed,Male,151.2,3,2,6,1682.2,1,0,1,1,1,1
Helwan University,Room,Male,189.2,4,2,4,2636.89,1,1,1,1,1,1
Zagazig University,Bed,Male,174.0,2,1,3,3127.42,1,1,1,1,1,1
Cairo University,EntireUnit,Male,183.9,2,1,3,12163.48,0,0,1,1,1,1
Fayoum University,Room,Male,52.4,2,1,2,994.95,0,0,0,0,1,1
Fayoum University,EntireUnit,Female,61.2,1,1,2,3688.85,1,1,1,0,0,1
Ain Shams University,Room,Female,117.0,1,1,1,7661.58,0,1,0,1,1,0
Suez Canal University,Room,Male,89.6,2,1,2,1926.56,0,0,0,0,0,0
GUC,Room,Male,173.6,3,2,5,5351.19,0,0,0,0,0,0
Alexandria University,Room,Female,108.5,1,1,1,7039.72,0,1,0,0,1,1
Assiut University,Room,Male,84.9,3,1,3,1507.3,1,1,0,1,1,1
Assiut University,Room,Female,122.6,1,1,1,5464.45,1,1,1,0,0,1
Zagazig University,Room,Female,146.7,3,2,5,2423.73,0,1,0,0,0,1
Assiut University,EntireUnit,Female,142.6,2,1,2,4731.61,0,0,0,0,0,0
Benha University,Bed,Female,186.9,1,1,1,8479.09,0,0,1,1,1,0
Helwan University,Bed,Female,189.6,1,1,1,9329.79,0,0,0,0,0,0
Suez Canal University,Bed,Female,198.9,4,2,7,1378.85,1,1,1,1,0,1
Mansoura University,EntireUnit,Male,97.7,1,1,1,3819.04,0,0,0,0,0,0
Helwan University,Room,Female,185.7,4,2,7,2219.83,1,1,1,1,1,1
Minia University,EntireUnit,Male,162.4,4,2,7,7945.4,1,1,1,1,0,1
Mansoura University,EntireUnit,Male,158.6,3,1,3,7127.83,0,0,0,1,1,1
Ain Shams University,EntireUnit,Female,116.4,4,2,5,7177.67,0,0,0,0,0,0
Fayoum University,Room,Male,105.1,4,2,7,1094.17,1,0,1,0,1,1
Suez Canal University,Room,Male,190.8,3,1,3,2853.78,1,0,1,1,1,1
Fayoum University,EntireUnit,Female,75.6,1,1,2,4473.55,0,1,1,1,1,1
Fayoum University,Bed,Female,141.7,3,2,4,1135.98,0,0,0,0,0,0
Zagazig University,Room,Male,130.2,2,1,3,2386.77,0,0,0,0,0,0
Suez Canal University,Bed,Male,51.2,2,2,4,982.03,0,1,1,1,1,0
Tanta University,Room,Female,155.2,3,1,3,2457.91,1,1,1,1,1,0
Tanta University,Bed,Male,41.7,1,1,2,1098.35,1,0,1,0,1,0
Benha University,Bed,Female,43.4,1,1,2,1258.47,1,0,1,1,1,1
Suez Canal University,Room,Female,110.8,1,1,1,4518.97,0,0,0,0,0,0
Fayoum University,Bed,Female,132.5,2,1,3,1971.51,0,1,0,0,1,0
GUC,Room,Male,64.3,2,2,4,3192.21,0,0,0,0,1,0
Assiut University,EntireUnit,Male,187.3,2,1,2,6906.98,0,0,0,0,0,0
AUC,EntireUnit,Male,172.9,2,1,2,18067.42,1,0,0,0,0,1
Assiut University,Bed,Male,118.8,2,1,3,2023.57,1,1,1,1,1,1
AUC,EntireUnit,Male,143.6,2,1,2,16490.76,1,1,0,1,0,0
AUC,Bed,Male,144.7,1,1,1,14920.43,0,1,1,1,1,1
Suez Canal University,Room,Female,190.8,4,2,6,1742.54,0,0,0,0,0,0
Zagazig University,EntireUnit,Female,113.1,4,2,5,5968.66,1,0,1,0,1,1
GUC,Bed,Female,143.7,2,1,3,4332.12,0,0,0,0,0,1
Fayoum University,Room,Female,103.2,4,2,4,1341.74,0,1,1,0,0,1
Benha University,EntireUnit,Female,147.1,2,2,4,7706.18,1,1,1,0,1,0
Mansoura University,Bed,Female,111.1,1,1,2,3559.22,1,1,1,1,1,1
Assiut University,EntireUnit,Male,199.1,4,2,8,7450.36,1,0,0,1,1,1
Cairo University,EntireUnit,Female,147.4,1,1,2,9502.87,1,0,0,0,0,0
Fayoum University,Room,Female,78.3,2,1,2,1493.39,0,0,0,0,0,0
GUC,Bed,Male,183.6,3,2,6,3138.13,0,0,0,1,0,1
Tanta University,Room,Male,84.8,3,2,6,1754.64,0,1,1,0,1,1
Assiut University,Room,Male,196.1,2,1,2,3909.98,0,1,0,0,0,1
Suez Canal University,EntireUnit,Male,180.6,2,1,3,7568.83,1,0,0,0,0,0
Minia University,Room,Male,86.3,1,1,2,3442.39,0,0,0,0,0,1
AUC,Room,Female,167.4,4,2,6,4355.11,1,1,0,1,0,1
Minia University,Room,Female,109.3,4,2,4,1517.91,1,1,1,1,1,1
Tanta University,Bed,Female,37.7,1,1,1,1617.09,0,0,0,0,0,0
Fayoum University,EntireUnit,Male,164.1,4,2,4,6481.32,0,1,0,0,0,0
Assiut University,Bed,Male,148.8,4,2,6,883.76,1,0,1,0,0,0
Alexandria University,EntireUnit,Female,129.6,3,2,4,9462.79,1,1,1,1,1,0
GUC,Bed,Male,119.2,3,2,5,2603.28,0,1,1,1,1,0
Suez Canal University,EntireUnit,Female,105.5,2,1,2,6330.53,1,1,1,1,1,1
Mansoura University,Room,Female,122.7,3,2,4,2137.23,0,1,1,1,1,0
Minia University,Bed,Female,160.2,1,1,1,5536.96,1,0,0,0,0,0
Helwan University,EntireUnit,Male,149.4,1,1,2,8559.87,0,1,1,1,0,1
Assiut University,EntireUnit,Male,118.7,2,2,4,5601.97,0,1,1,1,1,1
Cairo University,Bed,Female,152.3,1,1,2,4945.66,1,1,1,1,1,1
Minia University,Bed,Male,169.2,4,2,6,973.9,0,0,0,0,0,0
GUC,Room,Female,133.4,4,2,6,2882.39,0,0,0,0,0,1
Helwan University,EntireUnit,Female,85.6,1,1,1,5268.68,1,1,1,1,1,1
Cairo University,Room,Female,129.6,3,2,6,2663.86,0,1,0,0,0,1
Benha University,EntireUnit,Female,125.1,3,2,5,7087.25,1,1,1,0,1,1
Cairo University,Bed,Female,155.1,3,2,6,1591.12,1,1,0,1,0,0
Suez Canal University,Bed,Male,96.1,3,1,3,1672.76,1,1,0,0,1,1
Cairo University,Bed,Female,80.8,2,1,3,2130.67,0,1,1,1,1,1
Minia University,EntireUnit,Male,85.4,1,1,1,4681.34,1,1,1,1,1,1
Tanta University,Room,Female,116.2,4,2,4,1445.78,0,1,1,0,1,0
Suez Canal University,Bed,Male,69.1,2,2,4,1233.83,1,1,1,1,1,1
Assiut University,EntireUnit,Female,93.6,3,1,3,4689.18,1,1,1,1,1,1
Benha University,EntireUnit,Male,166.1,2,1,2,8400.4,1,1,1,1,1,1
Helwan University,Room,Female,126.4,2,1,3,3390.97,0,1,0,1,0,1
Cairo University,EntireUnit,Female,199.2,4,2,5,11452.6,0,0,0,0,0,0
Zagazig University,Bed,Male,172.6,1,1,2,3991.43,1,1,1,1,0,0
Helwan University,EntireUnit,Male,150.1,4,2,7,7387.77,0,0,0,0,0,0
GUC,EntireUnit,Female,156.9,4,2,4,13438.2,1,0,0,0,1,0
Zagazig University,Bed,Male,117.6,4,2,4,1500.97,0,1,1,1,1,1
Mansoura University,EntireUnit,Male,195.2,4,2,7,8667.51,0,0,0,0,0,0
Mansoura University,Room,Male,131.0,3,2,6,2462.4,0,1,1,1,1,1
Cairo University,EntireUnit,Male,184.9,4,2,7,11899.02,0,1,0,0,0,0
Zagazig University,EntireUnit,Male,65.7,1,1,2,3780.27,1,1,0,1,1,0
Ain Shams University,Room,Male,165.1,3,2,5,3096.39,0,1,0,1,0,1
GUC,Room,Male,99.0,2,1,2,4845.88,0,0,0,0,0,0
Benha University,EntireUnit,Male,68.9,1,1,1,3256.86,1,0,1,0,0,1
Tanta University,EntireUnit,Male,110.1,3,1,3,6817.53,1,1,1,1,1,1
Alexandria University,EntireUnit,Female,59.1,2,1,3,5255.52,1,1,1,0,0,0
GUC,Room,Female,120.3,2,1,2,6211.42,0,1,0,0,0,0
Mansoura University,Room,Male,146.2,3,2,4,2278.89,0,1,0,1,1,0
Fayoum University,Room,Male,93.7,1,1,1,4927.63,0,1,0,0,1,0
Minia University,Room,Male,115.3,3,2,5,1404.95,1,0,0,0,0,0
Benha University,EntireUnit,Female,162.4,1,1,1,8487.09,1,1,1,1,1,0
Fayoum University,Room,Male,177.9,3,2,5,2826.79,1,1,1,1,1,1
Mansoura University,Room,Male,197.1,3,2,6,2795.18,0,0,0,0,0,1
Alexandria University,Bed,Male,96.1,2,1,3,2308.33,1,1,1,0,1,1
Minia University,Room,Female,139.6,2,1,3,2953.39,1,0,1,0,0,0
Zagazig University,Room,Female,142.5,4,2,5,1504.27,0,1,0,0,0,1
Mansoura University,Room,Male,182.0,4,2,5,2466.04,1,1,1,1,1,1
Tanta University,Room,Male,150.3,4,2,7,1884.27,1,1,0,1,1,1
Minia University,EntireUnit,Male,102.1,2,1,3,4697.08,0,1,1,1,1,1
Zagazig University,EntireUnit,Male,147.0,1,1,1,5673.09,0,0,0,0,0,0
Fayoum University,EntireUnit,Female,169.9,1,1,1,7923.37,1,1,0,0,1,1
Helwan University,EntireUnit,Female,27.6,1,1,1,3082.14,1,1,1,0,1,0
Mansoura University,EntireUnit,Male,193.1,1,1,1,8879.32,0,0,0,0,0,0
Suez Canal University,Room,Female,140.9,1,1,1,7172.63,0,1,1,0,1,0
Suez Canal University,Room,Female,165.2,3,1,3,2267.82,1,0,0,0,0,1
Fayoum University,EntireUnit,Female,159.6,4,2,6,5745.95,1,0,0,0,0,0
Ain Shams University,Room,Male,153.3,2,1,2,4942.38,0,1,0,0,1,0
Minia University,Room,Female,155.1,3,2,6,2057.1,1,0,0,0,0,0
Helwan University,Room,Female,198.4,4,2,8,1967.05,0,0,0,0,0,0
Fayoum University,Room,Male,168.2,3,2,5,2502.85,1,1,1,1,1,1
Cairo University,Room,Female,43.3,1,1,2,2700.72,0,0,0,0,1,1
Alexandria University,Room,Male,92.6,1,1,2,4985.16,0,0,0,0,0,0
Cairo University,Bed,Female,167.1,4,2,7,1567.79,0,1,0,0,0,1
Ain Shams University,Bed,Female,94.8,2,1,2,2585.01,0,0,0,0,1,0
Assiut University,EntireUnit,Female,188.7,4,2,4,8543.23,0,1,1,0,1,1
Cairo University,EntireUnit,Female,165.7,4,2,7,10408.4,1,1,1,0,1,1
Benha University,EntireUnit,Male,172.1,4,2,8,8152.33,1,1,1,1,0,1
Zagazig University,Room,Male,104.5,3,2,4,1889.67,1,1,1,1,1,1
Cairo University,Room,Male,71.6,2,1,2,2998.76,1,1,1,1,1,1
Alexandria University,Bed,Male,131.5,4,2,6,1583.02,1,1,1,1,1,1
Mansoura University,Room,Male,172.5,4,2,4,2455.39,1,1,1,0,1,0
Suez Canal University,EntireUnit,Male,78.5,1,1,2,5486.91,1,1,1,1,1,1
Helwan University,EntireUnit,Female,82.8,3,1,3,5472.29,1,1,1,1,1,1
Ain Shams University,EntireUnit,Male,108.5,4,2,8,6358.97,0,0,0,1,0,0
Assiut University,Room,Female,187.6,2,1,3,3605.83,0,1,0,1,1,1
Assiut University,Room,Female,128.4,3,1,3,1835.86,1,1,1,0,0,0
Mansoura University,EntireUnit,Female,169.7,4,2,4,8997.18,1,1,0,1,1,1
Fayoum University,Bed,Male,157.6,4,2,8,810.78,0,0,0,1,1,1
Minia University,Room,Male,164.4,1,1,1,5960.37,0,0,0,0,0,0
Fayoum University,Room,Female,143.3,1,1,1,4861.31,0,0,0,0,0,0
Fayoum University,Bed,Female,64.1,2,1,3,928.37,1,0,0,0,0,0
Minia University,Room,Female,170.0,4,2,4,1862.92,0,1,1,1,1,0
GUC,EntireUnit,Female,164.2,2,1,2,16796.37,0,1,0,0,0,0
Zagazig University,Room,Male,105.4,2,2,4,2424.68,0,1,0,0,1,0
Mansoura University,Bed,Female,83.1,2,2,4,1413.18,1,1,1,1,0,0
Zagazig University,Bed,Male,175.6,2,1,2,3436.73,1,0,0,0,0,0
Benha University,Bed,Female,163.7,1,1,2,3842.67,1,0,1,0,0,0
Minia University,Room,Female,107.8,4,2,8,1187.7,1,0,1,1,1,1
Suez Canal University,EntireUnit,Male,96.2,3,2,4,3708.33,0,0,0,0,0,0
Minia University,Bed,Male,43.8,1,1,1,1954.41,1,0,0,0,0,0
Zagazig University,Bed,Female,28.2,1,1,1,2257.39,1,1,0,1,1,0
Tanta University,Room,Female,52.3,2,1,3,2128.68,1,1,1,1,1,1
Zagazig University,Bed,Female,148.3,2,1,2,2972.36,1,0,0,0,0,0
Minia University,EntireUnit,Female,171.4,2,1,2,5799.53,1,0,0,1,0,0
Cairo University,Bed,Female,164.4,3,2,6,1676.89,0,0,1,0,0,1
Benha University,Bed,Male,121.5,1,1,2,2436.0,0,0,0,0,0,0
Ain Shams University,Bed,Male,166.8,2,1,2,4645.7,1,0,0,1,1,0
Ain Shams University,EntireUnit,Female,122.5,2,1,2,7504.69,1,0,0,0,1,1
Suez Canal University,Room,Male,62.2,1,1,2,4026.62,1,1,1,0,1,1
Benha University,EntireUnit,Female,83.4,3,1,3,4448.38,1,0,1,1,1,1
Assiut University,EntireUnit,Female,106.6,1,1,1,5162.1,1,0,1,1,1,0
Zagazig University,EntireUnit,Male,177.4,1,1,2,7823.41,0,1,0,1,0,0
Helwan University,Bed,Female,173.0,2,1,2,3747.22,1,0,0,0,1,1
Minia University,EntireUnit,Female,167.0,2,1,3,8363.38,0,1,1,1,1,0
Benha University,Bed,Female,148.4,4,2,4,1765.28,1,1,1,1,1,0
Alexandria University,Room,Male,166.6,4,2,6,2961.07,1,1,1,0,1,0
Suez Canal University,Room,Female,128.4,3,2,4,1953.27,0,1,1,1,0,0
Cairo University,Bed,Male,72.6,1,1,1,6430.98,1,1,1,0,1,0
Minia University,Bed,Male,192.2,4,2,8,910.13,1,0,1,1,0,1
Ain Shams University,Bed,Female,190.8,4,2,7,1641.14,1,0,0,1,1,0
Suez Canal University,Bed,Male,110.5,3,2,4,1049.85,0,0,0,1,0,0
Mansoura University,Bed,Female,101.6,3,2,6,757.43,0,0,1,0,0,1
GUC,Bed,Male,107.1,3,2,6,1633.18,0,1,0,1,0,0
Zagazig University,Bed,Male,164.2,1,1,2,2948.48,0,0,0,0,0,0
Tanta University,Bed,Female,66.1,2,1,3,1358.38,0,1,1,0,1,1
Suez Canal University,Bed,Female,96.0,2,1,2,3043.44,1,1,1,1,1,1
GUC,Room,Male,199.2,4,2,5,4914.57,0,0,0,1,0,0
Cairo University,Room,Male,177.1,4,2,4,3015.13,0,0,0,1,0,1
Helwan University,Bed,Male,189.1,2,2,4,2397.42,0,0,1,1,0,0
Zagazig University,EntireUnit,Male,91.3,2,1,2,5147.99,1,1,0,1,1,0
Fayoum University,Bed,Female,149.4,3,2,5,1591.77,1,1,1,1,1,1
