id,title,price,nearest_university,bedrooms,area_sqm,amenities
48,Apartment 48,4018,Cairo University,3,73,"[""Natural Gas"", ""WiFi"", ""AC"", ""Security"", ""Elevator""]"
49,Apartment 49,2621,AUC,3,76,"[""Security"", ""WiFi""]"
50,Apartment 50,3357,AUC,3,145,"[""Elevator"", ""Security"", ""Washing Machine""]"
51,Apartment 51,2559,GUC,1,133,"[""Security"", ""Natural Gas"", ""WiFi"", ""Elevator"", ""Balcony""]"
52,Apartment 52,9528,Cairo University,3,53,"[""Balcony"", ""AC"", ""Washing Machine""]"
53,Apartment 53,9002,Helwan University,3,119,"[""Washing Machine"", ""Natural Gas"", ""AC"", ""Parking"", ""Security""]"
54,Apartment 54,4975,GUC,1,86,"[""AC"", ""Balcony"", ""Parking"", ""WiFi""]"
55,Apartment 55,7708,Cairo University,1,137,"[""Balcony"", ""Security""]"
56,Apartment 56,5889,Ain Shams University,3,77,"[""Washing Machine"", ""Security"", ""WiFi"", ""Parking""]"
57,Apartment 57,8491,GUC,3,149,"[""AC"", ""WiFi"", ""Elevator""]"
58,Apartment 58,6602,Cairo University,1,121,"[""Washing Machine"", ""Balcony"", ""Security"", ""Natural Gas"", ""AC""]"
59,Apartment 59,7031,GUC,2,61,"[""Washing Machine"", ""WiFi"", ""Elevator"", ""Natural Gas"", ""Security""]"
60,Apartment 60,8606,Helwan University,3,52,"[""Natural Gas"", ""Parking""]"
61,Apartment 61,9083,Ain Shams University,3,70,"[""Security"", ""WiFi"", ""Natural Gas"", ""Elevator"", ""Washing Machine""]"
62,Apartment 62,8711,GUC,2,61,"[""AC"", ""Balcony"", ""WiFi""]"
63,Apartment 63,5186,GUC,2,140,"[""Balcony"", ""AC""]"
64,Apartment 64,3167,Ain Shams University,2,106,"[""Security"", ""Balcony"", ""AC"", ""Washing Machine"", ""Parking""]"
65,Apartment 65,7578,Ain Shams University,2,73,"[""Security"", ""Balcony""]"
66,Apartment 66,3339,Helwan University,2,129,"[""Natural Gas"", ""Washing Machine"", ""AC"", ""Balcony""]"
67,Apartment 67,4954,Ain Shams University,2,137,"[""Balcony"", ""WiFi"", ""Washing Machine""]"
68,Apartment 68,7857,Cairo University,1,86,"[""Washing Machine"", ""AC"", ""WiFi"", ""Elevator""]"
69,Apartment 69,7859,Cairo University,2,145,"[""WiFi"", ""Parking"", ""AC"", ""Balcony"", ""Security""]"
70,Apartment 70,9337,Cairo University,1,148,"[""Balcony"", ""Washing Machine"", ""Security"", ""WiFi"", ""Elevator""]"
71,Apartment 71,6524,GUC,2,146,"[""Security"", ""Balcony"", ""Elevator"", ""WiFi"", ""Natural Gas""]"
72,Apartment 72,8736,GUC,3,115,"[""Washing Machine"", ""Balcony"", ""Parking"", ""WiFi"", ""Natural Gas""]"
73,Apartment 73,9913,Cairo University,1,54,"[""Security"", ""Washing Machine"", ""Balcony"", ""AC""]"
74,Apartment 74,4411,AUC,1,99,"[""WiFi"", ""Balcony""]"
75,Apartment 75,7930,GUC,3,87,"[""Security"", ""Elevator"", ""Parking"", ""Washing Machine"", ""WiFi""]"
76,Apartment 76,4304,Cairo University,2,97,"[""Elevator"", ""WiFi"", ""Security""]"
77,Apartment 77,3367,Helwan University,2,107,"[""Parking"", ""Security""]"
78,Apartment 78,4910,GUC,1,120,"[""Parking"", ""Washing Machine"", ""Natural Gas"", ""AC""]"
79,Apartment 79,3613,Ain Shams University,1,78,"[""AC"", ""Elevator"", ""Natural Gas""]"
80,Apartment 80,4839,GUC,2,117,"[""AC"", ""Balcony"", ""Security"", ""Washing Machine""]"
81,Apartment 81,2542,Cairo University,3,59,"[""Natural Gas"", ""Washing Machine"", ""Elevator""]"
82,Apartment 82,9870,Helwan University,2,135,"[""Security"", ""WiFi"", ""Parking"", ""Elevator""]"
83,Apartment 83,6043,Ain Shams University,1,99,"[""AC"", ""Elevator""]"
84,Apartment 84,7416,AUC,3,124,"[""Washing Machine"", ""Natural Gas""]"
85,Apartment 85,3140,Helwan University,1,64,"[""Elevator"", ""Security""]"
86,Apartment 86,6657,Cairo University,1,124,"[""AC"", ""Elevator"", ""Parking"", ""WiFi"", ""Security""]"
87,Apartment 87,5129,AUC,3,72,"[""Parking"", ""Natural Gas"", ""Elevator""]"
88,Apartment 88,9430,Ain Shams University,3,119,"[""Elevator"", ""Natural Gas"", ""Washing Machine"", ""Balcony"", ""WiFi""]"
89,Apartment 89,6920,GUC,3,122,"[""Washing Machine"", ""WiFi""]"
90,Apartment 90,9963,AUC,3,146,"[""Natural Gas"", ""Elevator"", ""Washing Machine"", ""AC""]"
91,Apartment 91,3772,GUC,1,122,"[""Balcony"", ""AC"", ""Natural Gas"", ""Parking""]"
92,Apartment 92,7299,AUC,2,134,"[""WiFi"", ""Parking"", ""Security""]"
93,Apartment 93,7238,Helwan University,3,138,"[""Parking"", ""Balcony"", ""AC"", ""WiFi""]"
94,Apartment 94,8041,Helwan University,3,129,"[""Washing Machine"", ""Elevator"", ""Natural Gas""]"
95,Apartment 95,4559,Helwan University,1,146,"[""Natural Gas"", ""Elevator"", ""AC""]"
96,Apartment 96,3424,Cairo University,1,92,"[""Elevator"", ""Balcony"", ""AC"", ""WiFi""]"
97,Apartment 97,2768,GUC,1,74,"[""Elevator"", ""Washing Machine"", ""Security"", ""AC""]"
98,Apartment 98,7858,Helwan University,2,124,"[""Balcony"", ""Security"", ""Elevator"", ""WiFi""]"
99,Apartment 99,4654,GUC,1,149,"[""Elevator"", ""WiFi"", ""Natural Gas"", ""AC"", ""Washing Machine""]"
100,Apartment 100,7870,AUC,3,65,"[""Elevator"", ""WiFi"", ""Natural Gas"", ""Security"", ""AC""]"
